"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","E-Commerce Shopping Application","1","0","Verify User  Register the Account for E-Commerce Shopping Application","0"
"1","","0","E-Commerce Shopping Application","0","0","Verify user enter valid and invalid credential for  E-Commerce Shopping application","0"
